batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
24.0,0,0.46242421865463257,4.7864814405329525e-06,,2568208.0,1013.0,0.49656862020492554,289,0.4147249460220337,0.5098075866699219,0.29459458589553833,,,
,,,,4.457848453098515e-06,,,,299,,,,,,
18.0,1,0.36463141441345215,4.45784826297313e-06,,2063312.0,775.0,0.40618449449539185,299,0.24620191752910614,,,,,
,1,,,,,,,299,,,,0.8111145496368408,0.1347840428352356,0.09781181812286377
,,,,4.133074962762699e-06,,,,309,,,,,,
21.0,1,0.3130277395248413,4.133074980927631e-06,,1723120.0,675.0,0.48701298236846924,309,0.15680339932441711,0.5853261947631836,0.25630253553390503,,,
,,,,3.813743018935389e-06,,,,319,,,,,,
21.0,1,0.3027184307575226,3.8137429783091648e-06,,1952592.0,790.0,0.3483245074748993,319,0.32770809531211853,0.5386615991592407,0.2851405739784241,,,
,,,,3.501408374747781e-06,,,,329,,,,,,
17.0,1,0.3654731512069702,3.5014084005524637e-06,,2086688.0,828.0,0.3406005799770355,329,0.2654043436050415,0.5168166160583496,0.29870128631591797,,,
,,,,3.1975926931905834e-06,,,,339,,,,,,
17.0,1,0.4813756048679352,3.197592604919919e-06,,2635312.0,953.0,0.4791352450847626,339,0.370420902967453,0.509935200214386,0.2918032705783844,,,
,,,,2.903776133724904e-06,,,,349,,,,,,
15.0,1,0.33519041538238525,2.903776021412341e-06,,1854032.0,725.0,0.3776041567325592,349,0.36823877692222595,0.6538907885551453,0.20529800653457642,,,
,,,,2.621390141094116e-06,,,,359,,,,,,
24.0,1,0.42013075947761536,2.6213901946903206e-06,,2412048.0,968.0,0.5041666626930237,359,0.3492192327976227,0.6201120018959045,0.23442137241363525,,,
,,,,2.351810471468979e-06,,,,369,,,,,,
16.0,1,0.41366660594940186,2.351810508116614e-06,,2298848.0,794.0,0.5063775777816772,369,0.269769549369812,0.5945789813995361,0.22325581312179565,,,
,,,,2.0963504899018523e-06,,,,379,,,,,,
21.0,1,0.3435174822807312,2.0963504994142568e-06,,1891072.0,750.0,0.3105590045452118,379,0.23971545696258545,0.5623853206634521,0.2703412175178528,,,
,,,,1.8562547717441852e-06,,,,389,,,,,,
19.0,1,0.3591707646846771,1.856254812082625e-06,,2030240.0,806.0,0.44188597798347473,389,0.36777761578559875,0.6062576174736023,0.2247191071510315,,,
,,,,1.6326930392005015e-06,,,,399,,,,,,
27.0,1,0.42897850275039673,1.6326930563081987e-06,,2466592.0,1003.0,0.47022971510887146,399,0.3548879027366638,0.5977314710617065,0.2484472095966339,,,
,1,,,,,,,399,,,,0.8149433732032776,0.13213083148002625,0.09540481120347977
,,,,1.4267544625594083e-06,,,,409,,,,,,
24.0,1,0.44326862692832947,1.4267544656831888e-06,,2547440.0,927.0,0.5597826242446899,409,0.32051122188568115,0.5891451239585876,0.23452769219875336,,,
,,,,1.2394423538654285e-06,,,,419,,,,,,
20.0,1,0.3454715311527252,1.2394423265504884e-06,,1951776.0,852.0,0.32030075788497925,419,0.49870163202285767,0.6518727540969849,0.21227622032165527,,,
,,,,1.0716692788835725e-06,,,,429,,,,,,
21.0,1,0.38532891869544983,1.0716693168433267e-06,,2169408.0,802.0,0.38576239347457886,429,0.40496209263801575,0.6649796962738037,0.190476194024086,,,
,,,,9.242526111706587e-07,,,,439,,,,,,
20.0,1,0.39750874042510986,9.242526175512467e-07,,2259376.0,874.0,0.4084112048149109,439,0.3127290904521942,0.5853089094161987,0.25619834661483765,,,
,,,,7.979105499135157e-07,,,,449,,,,,,
19.0,1,0.3825622797012329,7.979105589583924e-07,,2164672.0,842.0,0.36624619364738464,449,0.3302796185016632,0.5555258989334106,0.26907631754875183,,,
,,,,6.932586209347269e-07,,,,459,,,,,,
21.0,1,0.43016308546066284,6.932586416041886e-07,,2430208.0,922.0,0.48246991634368896,459,0.2039303183555603,0.6230867505073547,0.21959459781646729,,,
,,,,6.108066779127025e-07,,,,469,,,,,,
17.0,1,0.3154451847076416,6.10806694112398e-07,,1759952.0,683.0,0.3826330602169037,469,0.20021317899227142,0.5352873802185059,0.30293160676956177,,,
,,,,5.509564184258056e-07,,,,479,,,,,,
16.0,1,0.3439962565898895,5.509564289241098e-07,,1933248.0,736.0,0.33576643466949463,479,0.419514536857605,0.6375184655189514,0.2091836780309677,,,
,,,,5.139994269221289e-07,,,,489,,,,,,
22.0,1,0.46302762627601624,5.1399945277808e-07,,2592288.0,1038.0,0.41387560963630676,489,0.40254801511764526,0.6303738355636597,0.20370370149612427,,,
,,,,5.001157541493751e-07,,,,499,,,,,,
23.0,1,0.4234424829483032,5.00115731938422e-07,,2339584.0,927.0,0.5927109718322754,499,0.2919870913028717,0.6120665073394775,0.2371794879436493,,,
,1,,,,,,,499,,,,0.8143552541732788,0.13129296898841858,0.09606126695871353
