batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
22.0,0,0.3804570138454437,5.779477305623004e-06,,2183312.0,879.0,0.4592476487159729,259,0.2174251675605774,0.728265106678009,0.1304347813129425,,,
,,,,5.4489093552136986e-06,,,,269,,,,,,
21.0,0,0.3741488754749298,5.4489091780851595e-06,,2216464.0,894.0,0.34610918164253235,269,0.38636288046836853,0.5608212947845459,0.2507837116718292,,,
,,,,5.117372216063049e-06,,,,279,,,,,,
22.0,0,0.39093056321144104,5.117372438689927e-06,,2214656.0,866.0,0.5046619772911072,279,0.29110008478164673,0.6314035654067993,0.19736842811107635,,,
,,,,4.7864812261440415e-06,,,,289,,,,,,
19.0,0,0.38300877809524536,4.7864814405329525e-06,,2276880.0,844.0,0.4151500165462494,289,0.39859193563461304,0.574191153049469,0.25236591696739197,,,
,,,,4.457848453098515e-06,,,,299,,,,,,
22.0,1,0.34439560770988464,4.45784826297313e-06,,1973216.0,826.0,0.34445372223854065,299,0.39680594205856323,,,,,
,1,,,,,,,299,,,,0.8106752038002014,0.13605554401874542,0.09824945032596588
,,,,4.133074962762699e-06,,,,309,,,,,,
18.0,1,0.3114433288574219,4.133074980927631e-06,,1721888.0,670.0,0.4834054708480835,309,0.26808205246925354,0.628972053527832,0.21802325546741486,,,
,,,,3.813743018935389e-06,,,,319,,,,,,
20.0,1,0.3354865610599518,3.8137429783091648e-06,,1872176.0,806.0,0.44285714626312256,319,0.3501422703266144,0.586579442024231,0.25943395495414734,,,
,,,,3.501408374747781e-06,,,,329,,,,,,
20.0,1,0.3545759320259094,3.5014084005524637e-06,,2283696.0,866.0,0.3700854778289795,329,0.39743930101394653,0.5416935682296753,0.25539568066596985,,,
,,,,3.1975926931905834e-06,,,,339,,,,,,
19.0,1,0.4015159606933594,3.197592604919919e-06,,2226512.0,804.0,0.44542935490608215,339,0.3426961898803711,0.7502595782279968,0.15422885119915009,,,
,,,,2.903776133724904e-06,,,,349,,,,,,
30.0,1,0.5444624423980713,2.903776021412341e-06,,3062928.0,1203.0,0.572857141494751,349,0.3020614683628082,0.6776405572891235,0.1806451678276062,,,
,,,,2.621390141094116e-06,,,,359,,,,,,
20.0,1,0.3916161358356476,2.6213901946903206e-06,,2149440.0,862.0,0.4536842107772827,359,0.4991874098777771,0.6022600531578064,0.23030303418636322,,,
,,,,2.351810471468979e-06,,,,369,,,,,,
24.0,1,0.37620946764945984,2.351810508116614e-06,,2145008.0,882.0,0.5104166865348816,369,0.30683383345603943,0.6159541010856628,0.2136986255645752,,,
,,,,2.0963504899018523e-06,,,,379,,,,,,
25.0,1,0.3199177384376526,2.0963504994142568e-06,,1804464.0,726.0,0.3821052610874176,379,0.29914039373397827,0.6044753193855286,0.21804511547088623,,,
,,,,1.8562547717441852e-06,,,,389,,,,,,
17.0,1,0.3891608715057373,1.856254812082625e-06,,2232096.0,806.0,0.3950980305671692,389,0.43946829438209534,0.5471603870391846,0.2702702581882477,,,
,,,,1.6326930392005015e-06,,,,399,,,,,,
20.0,1,0.28032058477401733,1.6326930563081987e-06,,1555712.0,634.0,0.31078431010246277,399,0.2736841142177582,0.6148358583450317,0.2454545497894287,,,
,1,,,,,,,399,,,,0.8114606738090515,0.13359349966049194,0.09737417846918106
,,,,1.4267544625594083e-06,,,,409,,,,,,
16.0,1,0.39610475301742554,1.4267544656831888e-06,,2226096.0,828.0,0.37773722410202026,409,0.45905736088752747,0.4610183537006378,0.3438914120197296,,,
,,,,1.2394423538654285e-06,,,,419,,,,,,
29.0,1,0.47965970635414124,1.2394423265504884e-06,,2761328.0,1066.0,0.5834701657295227,419,0.24888841807842255,0.5965626239776611,0.21551723778247833,,,
,,,,1.0716692788835725e-06,,,,429,,,,,,
25.0,1,0.4038535952568054,1.0716693168433267e-06,,2241872.0,865.0,0.4023255705833435,429,0.44568556547164917,0.593487024307251,0.2893773019313812,,,
,,,,9.242526111706587e-07,,,,439,,,,,,
17.0,1,0.23238420486450195,9.242526175512467e-07,,1308416.0,574.0,0.32156863808631897,439,0.2983373999595642,0.5606909990310669,0.28947368264198303,,,
,,,,7.979105499135157e-07,,,,449,,,,,,
24.0,1,0.3661186993122101,7.979105589583924e-07,,2026880.0,825.0,0.43512657284736633,449,0.31182432174682617,0.5894938111305237,0.2314285784959793,,,
,,,,6.932586209347269e-07,,,,459,,,,,,
18.0,1,0.3954336941242218,6.932586416041886e-07,,2182832.0,837.0,0.34962406754493713,459,0.3365204930305481,0.6497582793235779,0.20703125,,,
,,,,6.108066779127025e-07,,,,469,,,,,,
20.0,1,0.3000178337097168,6.10806694112398e-07,,2153408.0,841.0,0.38577982783317566,469,0.32378801703453064,0.6895637512207031,0.19502075016498566,,,
,,,,5.509564184258056e-07,,,,479,,,,,,
17.0,1,0.3331824541091919,5.509564289241098e-07,,1813600.0,753.0,0.4139637053012848,479,0.2827662527561188,0.5651491284370422,0.2671755850315094,,,
,,,,5.139994269221289e-07,,,,489,,,,,,
21.0,1,0.3557194769382477,5.1399945277808e-07,,1965296.0,834.0,0.4784853756427765,489,0.3425414264202118,0.6217755079269409,0.21529744565486908,,,
,,,,5.001157541493751e-07,,,,499,,,,,,
22.0,1,0.4322311580181122,5.00115731938422e-07,,2419872.0,892.0,0.5792207717895508,499,0.27460595965385437,0.5711065530776978,0.24264705181121826,,,
,1,,,,,,,499,,,,0.8116369843482971,0.13118179142475128,0.09824945032596588
